index,time,time_str,pm2_5,pm10,carbon_monoxide,ozone,sulphur_dioxide,nh3,us_aqi,temperature,humidity,pressure,wind_speed,wind_direction,wind_direction_sin,wind_direction_cos,is_wind_from_high_pm,is_wind_from_low_pm,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_24h,co_lag_1h,o3_lag_1h,so2_lag_1h,temp_lag_1h,wind_speed_lag_1h,humidity_lag_1h,pressure_lag_1h,ozone_lag_3h,pm2_5_rolling_min_3h,pm2_5_rolling_mean_3h,pm2_5_rolling_max_3h,pm2_5_rolling_min_12h,pm2_5_rolling_mean_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_max_24h,pm10_rolling_min_3h,pm10_rolling_mean_3h,pm10_rolling_mean_12h,pm10_rolling_mean_24h,temp_rolling_mean_3h,humidity_rolling_mean_3h,wind_speed_rolling_mean_3h,pressure_rolling_mean_3h,temp_rolling_mean_12h,humidity_rolling_mean_12h,wind_speed_rolling_mean_12h,pressure_rolling_mean_12h,ozone_rolling_mean_3h,ozone_rolling_mean_12h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_hot,is_night,is_morning_rush,is_evening_rush,is_high_pm2_5,is_high_o3,temp_humidity_interaction,temp_wind_interaction,wind_direction_temp_interaction,wind_direction_humidity_interaction,pressure_humidity_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,pm2_5_pressure_interaction,pm10_temperature_interaction,pm10_pressure_interaction,co_pressure_interaction,o3_temp_interaction,so2_humidity_interaction
1204,2025-07-21 07:00:00+00:00,2025-07-21 07:00:00,27.72,85.87,247.07,70.77,0.42,4.0,84.0,34.94,55.0,997.0,5.14,230.0,-0.7660444431,-0.6427876097,0,1,38.52,40.34,42.51,39.04,127.15,138.34,150.95,80.8,256.51,63.06,0.56,34.94,3.09,55.0,997.0,60.27,27.72,37.2725,42.51,27.72,37.15615384615384,43.44,30.3864,43.44,85.87,125.57749999999999,121.23846153846154,89.17479999999999,33.69,59.5,2.5725,997.25,31.70923076923077,67.6923076923077,2.6138461538461537,996.7692307692307,63.974999999999994,58.073846153846155,-0.280373831775701,-0.3143705169428642,-0.2899590163934426,-0.3246559182068423,-0.36543009163464374,0.06274752475247534,0.9659258262890683,-0.25881904510252063,-0.8978045395707417,-0.44039415155763423,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,0,0,0,1921.6999999999998,179.59159999999997,-26.765592841913996,-42.1324443705,54835.0,968.5367999999999,1524.6,27636.84,3000.2978,85612.39,246328.78999999998,2472.7038,23.099999999999998
1205,2025-06-10 22:00:00+00:00,2025-06-10 22:00:00,33.71,131.01,125.86,95.46,5.18,13.27,96.0,33.94,40.0,996.0,8.23,230.0,-0.7660444431,-0.6427876097,0,1,32.03,30.27,29.47,29.18,125.52,118.82,114.86,104.17,120.82,96.03,3.73,33.94,7.2,40.0,996.0,94.58,29.47,31.369999999999997,33.71,28.33,29.91692307692307,33.71,29.2744,33.71,114.86,122.5525,112.66846153846153,112.7784,34.69,38.5,5.6575,996.0,39.47846153846154,28.76923076923077,4.590000000000002,995.0769230769231,95.2925,101.64846153846153,0.05245082734935996,0.13539912428427078,0.1552433173406443,0.043738049713193075,0.18991825613079016,0.25765575501583937,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,1357.6,279.3262,-25.999548398813996,-30.641777724,39840.0,1144.1173999999999,1348.4,33575.16,4446.479399999999,130485.95999999999,125356.56,3239.9123999999997,207.2
1206,2025-03-09 01:00:00+00:00,2025-03-09 01:00:00,129.02,152.35,1041.41,28.25,2.15,46.1,189.0,18.94,63.0,1009.0,0.0,0.0,0.0,1.0,0,0,133.23,134.44,135.51,217.01,158.53,162.65,167.32,267.71,1081.47,20.21,1.74,18.94,0.0,63.0,1008.0,20.92,129.02,133.04999999999998,135.51,69.33,129.62153846153845,148.2,129.6888,217.01,152.35,160.2125,164.52153846153848,164.0104,19.44,63.5,0.0,1008.5,22.786153846153848,51.53846153846154,0.3169230769230769,1008.1538461538462,22.3075,40.79692307692307,-0.031599489604443295,-0.11714794033118912,-0.4054651859361319,-0.038983157761937844,-0.19684748800674787,-0.4309140487841321,0.25881904510252074,0.9659258262890683,0.9680771188662043,-0.2506525322587204,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,1193.22,0.0,0.0,0.0,63567.0,2443.6388,8128.26,130181.18000000001,2885.509,153721.15,1050782.6900000002,535.0550000000001,135.45
1207,2025-05-12 11:00:00+00:00,2025-05-12 11:00:00,37.36,114.92,133.88,121.46,2.79,4.16,106.0,43.04,8.0,998.0,2.43,281.0,-0.9816271834,0.1908089954,0,1,41.72,46.74,51.93,34.91,125.59,136.6,151.02,118.15,146.0,125.0,3.1,42.82,2.85,9.0,998.0,129.39,37.36,44.4375,51.93,37.36,56.48923076923077,77.29,49.6352,77.29,114.92,132.0325,162.41153846153844,147.4952,42.519999999999996,9.5,3.11,999.25,37.393846153846155,16.923076923076923,3.266923076923077,1000.6153846153846,126.04249999999999,94.8523076923077,-0.10450623202301054,-0.4529213647679017,0.07018046405041545,-0.08495899355044192,-0.430976430976431,-0.02733812949640291,0.258819045102521,-0.9659258262890682,0.6513724827222223,-0.7587581226927909,0.49999999999999994,-0.8660254037844387,0.0,1.0,1,0,0,0,1,1,344.32,104.58720000000001,-42.249233973536,-7.8530174672,7984.0,1607.9743999999998,298.88,37285.28,4946.1568,114690.16,133612.24,5227.6384,22.32
1208,2025-05-09 21:00:00+00:00,2025-05-09 21:00:00,54.19,103.14,619.28,81.57,4.15,32.77,147.0,26.94,69.0,1005.0,0.0,0.0,0.0,1.0,0,0,54.5,54.91,55.24,53.93,103.29,104.72,106.14,137.88,616.19,85.81,4.59,27.94,0.0,61.0,1005.0,90.46,54.19,54.71,55.24,42.24,48.491538461538454,55.24,50.4968,55.95,103.14,104.3225,98.59076923076924,118.6392,27.94,62.25,0.515,1005.5,31.247692307692304,46.84615384615385,1.505384615384615,1004.9230769230769,86.90249999999999,114.28461538461536,-0.005688073394495455,0.12474055624740552,0.004821064342666382,-0.0014522218995062996,0.065385807251317,-0.2519582245430809,-0.7071067811865477,0.7071067811865474,0.9680771188662043,-0.2506525322587204,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,1858.8600000000001,0.0,0.0,0.0,69345.0,1459.8786,3739.1099999999997,54460.95,2778.5916,103655.7,622376.4,2197.4958,286.35
1209,2025-04-15 10:00:00+00:00,2025-04-15 10:00:00,31.17,84.42,168.07,127.75,1.92,3.79,91.0,41.94,20.0,1003.0,3.09,230.0,-0.7660444431,-0.6427876097,0,1,32.2,35.33,42.92,42.07,88.57,99.61,127.51,142.25,168.19,127.29,2.03,39.94,3.09,22.0,1004.0,132.31,31.17,35.405,42.92,31.17,49.93,59.23,47.9908,59.23,84.42,100.0275,136.60384615384618,131.6224,39.94,22.75,3.09,1004.5,33.786153846153844,36.61538461538461,1.6638461538461538,1005.5384615384615,129.185,91.00153846153846,-0.03198757763975159,-0.4448797862867319,-0.25909198954124074,-0.046855594445071605,-0.4965710537300972,-0.4065377855887522,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,1,838.8,129.59459999999999,-32.127903943613994,-15.320888862,20060.0,1307.2698,623.4000000000001,31263.510000000002,3540.5748,84673.26,168574.21,5357.835,38.4
1210,2025-07-13 02:00:00+00:00,2025-07-13 02:00:00,49.19,149.42,351.25,28.07,0.66,20.31,135.0,28.94,84.0,1000.0,0.0,0.0,0.0,1.0,0,0,49.47,50.22,49.91,28.58,144.84,137.5,131.55,77.94,359.61,28.42,0.62,28.94,0.0,84.0,999.0,24.35,49.19,49.6975,50.22,41.2,47.29230769230771,50.22,42.873599999999996,50.22,131.55,140.8275,123.17999999999999,112.9956,29.44,81.5,1.545,998.75,31.247692307692304,73.53846153846153,2.456153846153846,998.3846153846154,26.4125,32.83461538461539,-0.005659995957145768,0.02543256201792785,0.7211336599020294,0.031621099143882794,0.2619932432432431,0.9171157300487554,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,2430.96,0.0,0.0,0.0,84000.0,1423.5586,4131.96,49190.0,4324.2148,149420.0,351250.0,812.3458,55.440000000000005
1211,2025-03-16 21:00:00+00:00,2025-03-16 21:00:00,71.28,89.94,1241.68,26.82,2.92,48.13,159.0,17.94,88.0,1012.0,0.0,0.0,0.0,1.0,0,0,70.5,70.82,70.06,59.9,90.9,94.37,97.26,85.25,1268.39,25.03,2.8,17.94,0.0,88.0,1012.0,25.75,70.06,70.66499999999999,71.28,17.22,47.425384615384615,71.28,54.3984,102.01,89.94,93.11749999999999,64.37538461538462,72.0556,18.69,82.75,0.0,1012.0,21.94,62.38461538461539,0.47538461538461535,1011.6153846153846,25.57,73.12153846153846,0.011063829787234058,0.2034442005740335,0.18998330550918202,-0.010561056105610648,0.08492159227985514,0.055014662756598214,-0.7071067811865477,0.7071067811865474,-0.10116832198743204,-0.9948693233918952,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,0,0,0,1,0,1578.72,0.0,0.0,0.0,89056.0,1278.7632,6272.64,72135.36,1613.5236,91019.28,1256580.1600000001,481.15080000000006,256.96
1212,2025-05-29 09:00:00+00:00,2025-05-29 09:00:00,48.88,187.88,123.93,119.95,2.71,2.91,134.0,40.94,27.0,992.0,2.06,270.0,-1.0,-0.0,0,1,48.87,58.19,83.05,64.66,185.97,213.64,281.48,170.11,127.9,120.78,2.82,39.94,2.06,27.0,993.0,106.74,48.87,59.7475,83.05,48.87,72.34307692307692,83.05,68.7364,83.05,185.97,217.2425,216.28923076923076,192.28920000000002,39.19,28.25,1.03,993.25,34.09384615384615,38.61538461538461,2.534615384615385,993.8461538461538,116.33,90.14153846153847,0.0002046245140168839,-0.39294585196224535,-0.24404577791524892,0.0102704737323224,-0.18708895811699552,0.10446181882311434,0.7071067811865476,-0.7071067811865475,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,1,0,1,1,1105.3799999999999,84.3364,-40.94,-27.0,26784.0,2001.1471999999999,1319.76,48488.96,7691.807199999999,186376.96,122938.56000000001,4910.753,73.17
1213,2025-04-17 03:00:00+00:00,2025-04-17 03:00:00,54.76,109.91,411.62,72.07,8.23,15.46,148.0,25.94,53.0,1005.0,4.12,50.0,0.7660444431,0.6427876097,1,0,52.2,50.44,49.56,50.8,110.37,112.66,116.07,141.24,376.82,68.3,7.28,25.94,3.09,53.0,1005.0,70.17,49.56,51.739999999999995,54.76,39.54,46.34076923076923,54.76,43.778400000000005,54.76,109.91,112.2525,117.33384615384615,120.8532,27.69,48.25,3.3475,1004.0,32.247692307692304,39.69230769230769,4.355384615384615,1002.3076923076923,69.8375,68.9576923076923,0.049042145593869636,0.20351648351648347,0.07795275590551183,-0.004167799220802826,-0.08856455759184018,-0.22182101387708872,0.7071067811865475,0.7071067811865476,-0.2993631229733582,-0.9541392564000488,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,1374.8200000000002,106.87280000000001,19.871192854014,40.600355484299996,53265.0,1420.4744,2902.2799999999997,55033.799999999996,2851.0654,110459.55,413678.1,1869.4958,436.19
