index,time,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,temperature,humidity,pressure,wind_speed,wind_direction,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time_str
0,2025-06-25 20:00:00+00:00,156.25,0.0,1.33,65.94,0.48,26.55,104.25,16.07,4.0,81.0,75.0,81.0,308.09,55.0,993.0,4.12,130.0,-0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.53,26.59,25.91,25.67,31.9,25.34,19.08,28.22,26.55666666666666,0.03055050459588951,26.53,26.59,25.96666666666667,0.7097793084286994,25.08,26.59,27.153333333333336,1.9165657417434385,25.08,30.71,30.735,6.576805753026877,24.5,46.72,0.0007538635506973979,0.03428126217374361,0.04775059194948694,104.32,103.73,99.93,94.89,112.7,100.86,81.16,104.45,104.10000000000001,0.32233522925035446,103.73,104.32,100.11666666666667,4.855708667810496,93.58,104.32,101.30916666666667,5.11336476719759,93.58,108.48,119.52291666666667,26.695143586862176,93.58,176.34,-0.0006710122699385979,0.09864053114132143,0.03361094586555624,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,704.9025,0.0007538635506973979,0.0,0.0,10868.0625,-0.0006710122699385979,1.0,0.0,1.7689000000000001,-0.03623188405797084,0.0,4348.0836,-0.023255813953488524,0.0,24414.0625,-0.02080591589897851,0.0,0.2304,-0.05882352941176472,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-25 20:00:00
1,2025-06-24 06:00:00+00:00,166.29,0.12,0.81,96.04,4.41,41.14,138.4,8.99,4.0,115.0,92.0,115.0,308.09,55.0,993.0,4.12,130.0,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.27,44.82,47.79,32.68,24.79,33.12,43.27,49.28,42.74333333333333,1.8851083081166302,41.14,44.82,43.10333333333333,3.1862747318255717,38.58,47.79,33.318333333333335,11.032306964986864,19.08,47.79,32.080416666666665,7.895373702732558,19.08,47.79,-0.026732907499408598,0.258873929008568,0.24214975845410636,146.11,159.42,174.78,122.58,88.18,110.0,169.51,184.79,147.97666666666666,10.633599265222777,138.4,159.42,153.67333333333335,13.889993040555138,138.4,174.78,123.9975,34.19232532840729,81.16,174.78,112.07875,26.899284670059004,81.16,174.78,-0.05276846211758268,0.12905857399249476,0.2581818181818183,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,1692.4996,-0.026732907499408598,1.0,0.0,19154.56,-0.05276846211758268,1.0,0.0,0.6561000000000001,-0.30172413793103436,0.0,9223.681600000002,0.03324367939752548,0.0,27652.3641,-0.014051938811810771,0.0,19.4481,-0.19525547445255476,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-24 06:00:00
2,2025-06-28 10:00:00+00:00,270.42,0.07,0.7,87.78,0.31,14.53,39.59,8.03,2.0,56.0,37.0,56.0,308.09,55.0,993.0,4.12,130.0,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.61,17.6,24.24,25.89,20.95,11.18,24.25,30.27,15.913333333333329,1.5573160672553021,14.53,17.6,22.453333333333333,7.844388227686981,14.53,33.85,22.774166666666662,5.42065822627294,14.53,33.85,20.14916666666667,5.163451758075875,11.91,33.85,-0.06918641896220368,-0.43877945152568565,0.29964221824686943,42.86,51.9,82.5,110.15,78.2,25.49,90.37,107.62,44.78333333333333,6.37639657905327,39.59,51.9,77.45666666666666,39.14885677343125,39.59,127.91,83.97916666666667,28.315959026775843,39.59,127.91,68.49125,27.771493879203106,28.18,127.91,-0.0762949136724217,-0.6405810258738085,0.5531581012161635,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,211.12089999999998,-0.06918641896220368,0.0,0.0,1567.3681000000004,-0.0762949136724217,0.0,0.0,0.48999999999999994,0.01449275362318847,0.0,7705.3284,-0.016690937605018386,0.0,73126.97640000001,-0.03932644143664066,0.0,0.0961,-0.06060606060606066,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-28 10:00:00
3,2025-06-27 04:00:00+00:00,378.21,0.15,5.62,51.33,2.55,37.46,101.81,28.63,4.0,106.0,74.0,106.0,308.09,55.0,993.0,4.12,130.0,0.8660254037844386,0.5000000000000001,-0.72479278722912,0.6889669190756865,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,37.59,36.23,32.04,22.62,29.4,41.65,44.82,25.016666666666662,21.665166358311936,0.0,37.59,30.014999999999997,14.777892610247445,0.0,37.59,28.694166666666664,10.268737603507917,0.0,37.59,27.078333333333333,8.085723686611884,0.0,37.59,-1.0,0.16916354556804003,0.2741496598639457,0.0,97.75,94.29,79.4,56.08,145.38,167.97,159.42,66.52,57.64376549116152,0.0,101.81,77.93666666666667,38.675719342587975,0.0,101.81,73.53416666666666,26.883281204743547,0.0,101.81,83.90041666666666,35.88126451641729,0.0,167.55,-1.0,0.28224181360201506,-0.2996973448892557,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,1403.2516,-1.0,1.0,0.0,10365.276100000001,-1.0,1.0,0.0,31.584400000000002,-0.20396600566572232,0.0,2634.7689,0.28743416102332575,0.0,143042.80409999998,-0.06457756232686984,0.0,6.5024999999999995,0.0,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-27 04:00:00
4,2025-06-27 14:00:00+00:00,497.77,0.06,6.18,82.8,1.5,15.36,41.0,27.8,2.0,58.0,38.0,58.0,308.09,55.0,993.0,4.12,130.0,-0.4999999999999997,-0.8660254037844388,-0.72479278722912,0.6889669190756865,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.76,12.62,11.91,14.0,37.59,20.69,25.67,30.89,13.913333333333327,1.3764204783900469,12.62,15.36,12.796666666666667,1.5262066264683238,11.18,15.36,17.7,10.869403262034517,0.0,37.46,23.477500000000003,10.30889833021036,0.0,37.59,0.11627906976744184,0.0971428571428572,-0.2576123731271146,35.91,31.55,28.18,33.74,97.75,53.13,94.89,98.51,36.15333333333333,4.72969695999248,31.55,41.0,31.58666666666667,5.893897408897391,25.49,41.0,47.25083333333333,32.36059457211163,0.0,101.81,60.70041666666666,28.223130735524364,0.0,101.81,0.14174324700640506,0.2151748666271487,-0.2283079239600979,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,235.9296,0.11627906976744184,0.0,0.0,1681.0,0.14174324700640506,0.0,0.0,38.1924,0.6436170212765957,0.0,6855.839999999999,-0.13243922883487014,0.0,247774.9729,0.08560150047980453,0.0,2.25,0.006711409395973256,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-27 14:00:00
5,2025-06-23 00:00:00+00:00,141.4,0.0,1.34,69.43,3.4,30.89,128.15,14.28,4.0,91.0,87.0,91.0,308.09,55.0,993.0,4.12,130.0,0.0,1.0,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.16,25.07,25.74,36.36,39.16,36.32,45.85,57.88,27.706666666666663,2.948259373483057,25.07,30.89,28.143333333333334,2.718960585715258,25.07,31.78,33.645,6.1160214340548915,25.07,40.48,37.219166666666666,5.688967138369871,25.07,43.27,0.13733431516936667,-0.15044004400440036,-0.14950440528634357,113.95,103.55,101.36,113.25,119.94,143.27,162.01,181.66,115.21666666666665,12.34881910683556,103.55,128.15,110.19666666666666,9.918930721940427,101.36,128.15,113.52333333333333,7.668060479361966,101.36,128.15,130.38041666666666,24.833083381924578,101.36,177.78,0.1246160596752961,0.13156732891832235,-0.10553500383890557,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,954.1921,0.13733431516936667,0.0,0.0,16422.4225,0.1246160596752961,1.0,0.0,1.7956000000000003,0.22935779816513757,0.0,4820.524900000001,-0.00028797696184301724,0.0,19993.960000000003,-0.012155931256112806,0.0,11.559999999999999,0.6748768472906406,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-23 00:00:00
6,2025-06-22 10:00:00+00:00,151.3,0.01,0.53,90.01,1.15,39.8,122.19,8.55,4.0,112.0,84.0,112.0,314.09,40.0,992.0,9.26,230.0,0.49999999999999994,-0.8660254037844387,-0.9680771188662041,-0.2506525322587213,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.64,40.1,40.72,42.6,29.75,51.59,48.88,54.52,39.846666666666664,0.23352373183660696,39.64,40.1,41.086666666666666,1.6276322270927557,39.64,43.27,40.01916666666667,2.9390859999585763,33.03,43.27,38.610416666666666,7.064901291145264,25.85,50.68,0.004036326942482349,-0.06572769953051649,-0.22853266136848238,122.17,125.15,136.8,177.78,119.92,132.63,130.47,138.15,123.17,1.7147594583536228,122.17,125.15,141.95166666666668,24.5028393592797,122.17,175.89,150.00583333333333,22.309959234848783,122.17,177.78,132.67041666666668,24.29124989698895,102.43,177.78,0.00016370631087814225,-0.31268984137698286,-0.07871522280027143,98652.52809999998,30985772.55092899,0.003193969785045825,1.0,0.0,1600.0,0.0,0.0,85.74759999999999,0.0,0.0,-0.001007049345417954,1.0,0.0,1584.0399999999997,0.004036326942482349,1.0,0.0,14930.3961,0.00016370631087814225,1.0,0.0,0.28090000000000004,0.1276595744680853,0.0,8101.800100000001,0.009759928202827117,0.0,22891.690000000002,0.021331173214526933,0.0,1.3224999999999998,-0.04958677685950419,0.0,12563.599999999999,2908.4734,12500.781999999997,1592.0,368.54799999999994,2025-06-22 10:00:00
7,2025-06-20 09:00:00+00:00,198.87,0.04,0.78,111.21,3.03,48.73,134.36,12.25,4.0,134.0,90.0,134.0,316.09,33.0,993.0,4.12,130.0,0.7071067811865476,-0.7071067811865475,-0.7907757369376986,-0.6121059825476627,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.83,52.17,53.85,53.48,61.22,54.24,51.07,59.36,50.24333333333333,1.756853247522548,48.73,52.17,51.23499999999999,1.7903267858138592,48.73,53.85,54.04916666666666,3.5405763740678666,48.73,59.64,56.745000000000005,4.483479820892291,48.73,64.03,-0.02207505518763797,-0.08881824981301423,-0.10158554572271394,144.4,170.54,199.88,206.68,152.19,140.72,85.7,90.65,149.76666666666668,18.677498048007866,134.36,170.54,176.06166666666664,31.194970374512096,134.36,205.85,180.85666666666668,25.209453613975132,134.36,206.68,157.85833333333332,29.743828247899895,125.61,206.68,-0.06952908587257611,-0.3499129088445906,-0.0451961341671403,99912.88809999998,31581464.799528994,0.0,1.0,0.0,1089.0,0.0,0.0,16.9744,0.0,1.0,-0.001006036217303774,1.0,0.0,2374.6128999999996,-0.02207505518763797,1.0,0.0,18052.609600000003,-0.06952908587257611,1.0,0.0,0.6084,-0.012658227848101222,0.0,12367.664099999998,0.019994496927451033,1.0,39549.276900000004,0.03255451713395652,0.0,9.1809,-0.10882352941176476,0.0,10430.97,1302.2908,15403.065699999997,1608.09,200.7676,2025-06-20 09:00:00
8,2025-06-23 11:00:00+00:00,157.7,0.05,0.79,85.78,1.68,31.66,102.11,9.35,4.0,92.0,74.0,92.0,308.09,55.0,993.0,4.12,130.0,0.258819045102521,-0.9659258262890682,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.7,31.73,32.37,32.92,27.16,39.48,50.68,48.6,31.696666666666662,0.03511884580608499,31.66,31.73,32.281666666666666,0.6965462415894026,31.66,33.12,33.10833333333333,1.6801884814906982,30.89,36.18,33.72125,4.514026750031892,25.07,40.48,-0.0012618296529968154,-0.038274605103280734,-0.19807497467071933,103.21,103.92,106.34,111.3,113.95,121.03,129.95,127.55,103.08,0.9119758768805036,102.11,103.92,105.81166666666667,3.2854066212041513,102.11,110.0,117.77583333333335,15.31246815704797,102.11,143.41,115.30749999999999,11.783961926943459,101.36,143.41,-0.010657881988179407,-0.08256963162623543,-0.15632487812938944,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,1002.3556,-0.0012618296529968154,0.0,0.0,10426.4521,-0.010657881988179407,1.0,0.0,0.6241000000000001,-0.024691358024691357,0.0,7358.2084,0.006217008797654078,0.0,24869.289999999997,0.014082695646582266,0.0,2.8223999999999996,-0.05084745762711873,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-23 11:00:00
9,2025-06-27 16:00:00+00:00,546.86,0.0,7.98,67.39,1.44,17.95,50.26,40.82,3.0,63.0,47.0,63.0,308.09,55.0,993.0,4.12,130.0,-0.8660254037844384,-0.5000000000000004,-0.72479278722912,0.6889669190756865,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.78,15.36,13.76,11.18,37.46,22.62,25.08,30.71,16.696666666666662,1.2970093805872818,15.36,17.95,14.729999999999999,2.3796302233769033,11.91,17.95,17.4725,7.361592126460343,11.18,33.52,23.083333333333332,10.44986984178034,0.0,37.59,0.06972586412395687,0.6055456171735241,-0.20645446507515475,45.76,41.0,35.91,25.49,101.81,56.08,94.89,99.94,45.673333333333325,4.630608311373467,41.0,50.26,38.776666666666664,8.465328503171712,28.18,50.26,46.76833333333334,23.966698423715098,25.49,97.65,60.15125,28.412112284315103,0.0,101.81,0.09833916083916083,0.9717536288740682,-0.10378031383737518,94919.44809999998,29243732.765128992,0.0,0.0,0.0,3025.0,0.0,0.0,16.9744,0.0,0.0,0.0,0.0,0.0,322.2025,0.06972586412395687,0.0,0.0,2526.0676,0.09833916083916083,1.0,0.0,63.680400000000006,0.07547169811320753,0.0,4541.4121000000005,-0.08598942085989425,0.0,299055.8596,0.032883180659174505,0.0,2.0736,-0.04635761589403975,0.0,16944.949999999997,1269.3308,8367.7244,1493.8,111.89920000000001,2025-06-27 16:00:00
