temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
36.94,41,994,3.09,130,398.45,0.01,3.81,129.15,2.2,48.21,72.58,21.89,3,132.0,60.0,132.0,Multan,30.1575,71.5249
35.94,44,995,4.12,130,428.17,0.0,4.43,122.84,2.24,47.77,74.06,26.86,3,131.0,60.0,131.0,Multan,30.1575,71.5249
34.94,49,996,5.14,130,448.83,0.0,4.6,116.71,2.15,46.37,75.45,30.62,3,128.0,61.0,128.0,Multan,30.1575,71.5249
34.94,49,997,3.09,130,468.21,0.0,4.66,111.11,2.0,45.17,78.93,33.49,3,125.0,63.0,125.0,Multan,30.1575,71.5249
33.94,52,997,3.09,130,476.76,0.0,4.59,105.75,1.8,43.75,83.72,34.79,3,121.0,65.0,121.0,Multan,30.1575,71.5249
32.94,52,997,5.14,180,471.0,0.0,4.57,97.98,1.54,41.87,87.3,36.32,3,117.0,67.0,117.0,Multan,30.1575,71.5249
32.94,52,997,4.12,180,470.33,0.0,4.69,89.3,1.3,41.03,91.14,39.97,3,115.0,69.0,115.0,Multan,30.1575,71.5249
32.94,52,996,4.12,180,468.08,0.0,4.74,81.68,1.1,40.66,95.37,43.4,3,114.0,71.0,114.0,Multan,30.1575,71.5249
32.94,52,996,4.12,180,468.26,0.0,5.03,72.76,0.93,40.67,98.21,47.92,3,114.0,72.0,114.0,Multan,30.1575,71.5249
31.94,55,996,2.06,130,476.96,0.0,5.62,63.52,0.81,41.37,100.88,53.54,4,115.0,74.0,115.0,Multan,30.1575,71.5249
30.94,58,997,3.09,180,487.26,0.0,6.24,55.59,0.71,42.24,104.71,58.37,4,118.0,76.0,118.0,Multan,30.1575,71.5249
30.94,58,997,3.09,180,487.26,0.0,6.24,55.59,0.71,42.24,104.71,58.37,4,118.0,76.0,118.0,Multan,30.1575,71.5249
30.94,58,997,3.09,180,487.26,0.0,6.24,55.59,0.71,42.24,104.71,58.37,4,118.0,76.0,118.0,Multan,30.1575,71.5249
30.94,58,997,3.09,180,487.26,0.0,6.24,55.59,0.71,42.24,104.71,58.37,4,118.0,76.0,118.0,Multan,30.1575,71.5249
30.94,58,997,3.09,180,497.86,0.0,6.89,48.35,0.68,42.75,108.6,60.86,4,119.0,78.0,119.0,Multan,30.1575,71.5249
30.94,58,998,3.09,180,526.0,0.3,7.72,43.14,0.78,43.77,114.79,59.05,4,121.0,81.0,121.0,Multan,30.1575,71.5249
31.94,55,998,4.12,180,558.03,1.23,7.69,46.26,0.92,45.23,123.18,55.35,4,125.0,85.0,125.0,Multan,30.1575,71.5249
33.94,49,998,3.09,180,391.49,0.18,1.72,110.77,1.49,37.16,113.06,16.67,4,105.0,80.0,105.0,Multan,30.1575,71.5249
34.94,43,997,3.09,180,377.54,0.11,0.99,127.96,2.01,39.97,97.85,13.37,3,112.0,72.0,112.0,Multan,30.1575,71.5249
36.94,41,997,0.0,0,373.22,0.1,0.86,135.54,2.4,43.84,93.59,14.01,3,122.0,70.0,122.0,Multan,30.1575,71.5249
37.94,41,996,3.09,310,364.13,0.09,0.81,143.03,2.66,48.03,89.28,15.3,4,132.0,68.0,132.0,Multan,30.1575,71.5249
38.94,39,995,2.06,310,342.85,0.09,0.8,145.62,2.72,50.15,86.86,16.33,4,137.0,67.0,137.0,Multan,30.1575,71.5249
39.94,35,994,3.09,180,329.81,0.09,0.83,147.34,2.84,51.07,85.7,16.86,4,139.0,66.0,139.0,Multan,30.1575,71.5249
39.94,35,993,0.0,0,324.07,0.09,0.89,150.98,2.98,52.02,85.53,17.47,4,142.0,66.0,142.0,Multan,30.1575,71.5249
39.94,35,992,0.0,0,318.06,0.08,0.99,152.82,3.08,52.16,84.49,17.84,4,142.0,66.0,142.0,Multan,30.1575,71.5249
39.94,35,992,3.09,130,314.88,0.07,1.18,154.01,3.19,51.96,83.25,18.15,4,142.0,65.0,142.0,Multan,30.1575,71.5249
39.94,35,992,3.09,130,343.0,0.09,3.12,142.15,3.25,53.2,84.11,24.13,4,145.0,65.0,145.0,Multan,30.1575,71.5249
38.94,37,992,3.09,130,391.99,0.03,5.73,124.79,3.28,55.4,86.9,32.87,4,150.0,67.0,150.0,Multan,30.1575,71.5249
37.94,41,993,3.09,130,432.98,0.0,6.93,113.28,3.27,57.4,90.33,39.87,4,152.0,68.0,152.0,Multan,30.1575,71.5249
36.94,41,993,3.09,180,452.66,0.0,7.08,106.82,3.17,58.29,93.22,43.63,4,152.0,70.0,152.0,Multan,30.1575,71.5249
36.94,41,994,0.0,0,458.88,0.0,6.41,105.04,2.98,59.06,97.08,43.25,4,153.0,72.0,153.0,Multan,30.1575,71.5249
35.94,46,994,2.06,180,450.3,0.0,5.42,106.19,2.74,59.25,101.61,40.73,4,153.0,74.0,153.0,Multan,30.1575,71.5249
34.94,52,993,0.0,0,415.94,0.0,3.73,111.98,2.46,58.48,108.8,34.82,4,153.0,78.0,153.0,Multan,30.1575,71.5249
34.94,49,993,2.06,180,402.25,0.0,2.95,111.51,2.31,59.23,117.3,32.55,4,153.0,82.0,153.0,Multan,30.1575,71.5249
33.94,52,992,2.06,180,392.85,0.0,2.33,112.24,2.28,60.96,129.11,30.23,4,154.0,88.0,154.0,Multan,30.1575,71.5249
33.94,52,992,2.06,180,386.47,0.0,1.91,113.24,2.36,63.17,143.61,27.76,4,155.0,95.0,155.0,Multan,30.1575,71.5249
32.94,52,992,0.0,0,387.73,0.0,1.78,112.5,2.45,65.71,156.92,27.02,4,156.0,102.0,156.0,Multan,30.1575,71.5249
32.94,52,993,0.0,0,390.33,0.0,1.74,110.61,2.49,67.62,168.19,26.52,4,157.0,108.0,157.0,Multan,30.1575,71.5249
32.94,52,993,0.0,0,390.33,0.0,1.74,110.61,2.49,67.62,168.19,26.52,4,157.0,108.0,157.0,Multan,30.1575,71.5249
32.94,52,993,0.0,0,390.33,0.0,1.74,110.61,2.49,67.62,168.19,26.52,4,157.0,108.0,157.0,Multan,30.1575,71.5249
32.94,52,993,0.0,0,390.33,0.0,1.74,110.61,2.49,67.62,168.19,26.52,4,157.0,108.0,157.0,Multan,30.1575,71.5249
31.94,58,994,2.06,130,389.49,0.0,1.8,106.78,2.4,68.15,176.17,25.77,4,158.0,111.0,158.0,Multan,30.1575,71.5249
