temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time
35.94,59.0,997.0,0.0,0.0,375.43,0.23,1.99,77.96,0.6,29.62,127.89,22.42,4.0,88.0,87.0,88.0,0.9659258262890683,0.25881904510252074,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,0,26.58,24.64,23.27,21.31,19.13,33.52,32.3,44.22,26.0275,2.7531966269532346,23.27,29.62,23.562,2.665644804211961,21.31,29.62,22.345625000000002,2.6585584282965584,19.13,29.62,20.257142857142856,5.6600659969603795,11.18,33.52,0.11437170805116639,0.3899577663068983,-0.11634844868735089,120.39,108.71,99.42,81.69,55.23,97.65,158.03,173.41,114.10249999999999,12.573552600597813,99.42,127.89,97.508,16.200731670719897,81.69,127.89,86.15375,20.289686008741814,55.23,127.89,69.27428571428572,29.269105875140067,25.49,127.89,0.0622975330176925,0.5655526992287918,0.3096774193548386,1291.6835999999998,46423.108583999994,0.09107468123861562,1,0,3481.0,0,0,0.0,0,1,0.0,1,0,877.3444000000001,0.11437170805116637,0,0,16355.8521,0.062297533017692475,1,0,3.9601,-0.21031746031746035,0,6077.761599999999,0.1478209658421672,0,140947.6849,-0.04640589281178553,0,0.36,0.19999999999999996,0,2120.46,0.0,1064.5428,1747.5800000000002,0.0,2025-06-28 05:00:00+00:00
35.94,56.0,996.0,0.0,0.0,363.43,0.18,1.58,88.09,0.68,34.27,134.2,22.33,4.0,98.0,90.0,98.0,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,0,29.62,26.58,24.64,21.93,19.99,30.79,35.26,46.72,28.777500000000003,4.196239387832874,24.64,34.27,24.858,4.173255590330196,21.93,34.27,23.291875,3.860425224851101,19.99,34.27,20.283928571428564,5.726540122315287,11.18,34.27,0.15698852126941262,0.5626994984040129,0.11302370899642754,127.89,120.39,108.71,86.28,60.24,90.88,167.55,176.34,122.7975,10.957558654493557,108.71,134.2,102.75899999999999,18.804659853935732,86.28,134.2,91.08937499999999,21.81355525623154,60.24,134.2,70.57964285714287,31.32436721386733,25.49,134.2,0.049339275940261065,0.5554010199350949,0.47667253521126757,1291.6835999999998,46423.108583999994,0.0,1,0,3136.0,0,0,0.0,0,1,-0.0010030090270812808,1,0,1174.4329000000002,0.15698852126941265,0,0,18009.639999999996,0.04933927594026111,1,0,2.4964000000000004,-0.20603015075376885,0,7759.8481,0.12993842996408422,0,132081.36490000002,-0.03196334869349815,0,0.4624000000000001,0.13333333333333353,0,2012.6399999999999,0.0,1231.6638,1919.1200000000001,0.0,2025-06-28 06:00:00+00:00
37.94,50.0,995.0,3.09,180.0,310.73,0.09,0.82,93.87,0.56,25.44,90.52,11.52,3.0,79.0,69.0,79.0,0.9659258262890683,-0.25881904510252063,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,0,34.27,29.62,26.58,22.48,20.14,19.85,31.25,36.94,28.9775,3.94483945596438,25.44,34.27,26.614285714285717,4.106879825945959,22.48,34.27,23.6325,3.789449388323675,20.14,34.27,20.092857142857145,5.445362863903261,11.18,34.27,-0.25765976072366503,0.13167259786476873,0.28161209068010074,134.2,127.89,120.39,91.86,65.44,53.41,138.12,133.38,118.25,19.329292106368854,90.52,134.2,110.42714285714285,17.48569673979823,90.52,134.2,92.981875,20.21353217319196,65.44,134.2,70.56678571428571,31.315799000879604,25.49,134.2,-0.32548435171385987,-0.014587415632484252,0.6948137052986333,1439.4435999999998,54612.49018399999,0.05564830272676691,1,0,2500.0,0,0,9.5481,0,1,-0.0010040160642570406,1,0,647.1936000000001,-0.25765976072366503,0,0,8193.8704,-0.3254843517138599,1,0,0.6723999999999999,-0.4810126582278481,0,8811.5769,0.06561471222613235,0,96553.13290000001,-0.14500729163800452,0,0.31360000000000005,-0.17647058823529405,0,1897.0,117.23459999999999,965.1936,1272.0,78.6096,2025-06-28 07:00:00+00:00
38.94,47.0,994.0,3.44,149.0,285.3,0.07,0.63,92.18,0.42,18.68,58.64,8.04,3.0,65.0,53.0,65.0,0.8660254037844387,-0.4999999999999998,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,0,25.44,34.27,29.62,23.27,20.63,14.0,27.52,31.9,27.002499999999998,6.61748378665688,18.68,34.27,26.071428571428573,4.9159008281678105,18.68,34.27,23.54125,3.8952567309485526,18.68,34.27,20.051071428571426,5.4517807755208425,11.18,34.27,-0.2657232704402516,-0.19724967769660506,0.33428571428571424,90.52,134.2,127.89,99.42,69.84,33.74,112.28,112.7,102.81249999999999,35.19645566909637,58.64,134.2,105.68142857142855,25.865080339182807,58.64,134.2,92.55687499999999,20.89134229571347,58.64,134.2,70.75357142857143,31.225141960865294,25.49,134.2,-0.3521873619089704,-0.4101790384228525,0.7379964433906342,1516.3235999999997,59045.64098399999,0.026357406431207098,1,0,2209.0,0,0,11.833599999999999,0,1,-0.0010050251256281673,1,0,348.94239999999996,-0.26572327044025157,0,0,3438.6496,-0.3521873619089704,1,0,0.39690000000000003,-0.23170731707317072,0,8497.1524,-0.01800362203046768,0,81396.09000000001,-0.08183953914974418,0,0.17639999999999997,-0.2500000000000001,0,1830.1799999999998,133.9536,727.3992,877.96,64.25919999999999,2025-06-28 08:00:00+00:00
38.94,47.0,993.0,3.09,180.0,271.57,0.06,0.62,90.11,0.36,16.46,48.83,7.47,2.0,60.0,45.0,60.0,0.7071067811865476,-0.7071067811865475,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,0,18.68,25.44,34.27,24.64,21.07,11.95,25.91,30.71,23.712500000000006,8.007702021595627,16.46,34.27,25.098571428571432,6.0951194370890684,16.46,34.27,23.280625,4.228295903789138,16.46,34.27,20.138928571428572,5.369860567391626,11.18,34.27,-0.11884368308351172,-0.3319805194805195,0.37740585774058594,58.64,90.52,134.2,108.71,74.43,27.39,101.53,108.48,83.04749999999999,38.46634838834241,48.83,134.2,98.45428571428572,33.76702674560043,48.83,134.2,91.24375,22.971166237989163,48.83,134.2,71.2925,30.688254675038134,25.49,134.2,-0.16729195088676674,-0.550823291325545,0.7827674333698429,1516.3235999999997,59045.64098399999,0.0,1,0,2209.0,0,0,9.5481,0,1,-0.001006036217303774,1,0,270.9316,-0.11884368308351168,0,0,2384.3689,-0.16729195088676674,0,0,0.3844,-0.015873015873015928,0,8119.8121,-0.022456064222174055,0,73750.2649,-0.04812478093235195,0,0.1296,-0.1428571428571429,0,1830.1799999999998,120.32459999999999,640.9524,773.62,50.8614,2025-06-28 09:00:00+00:00
39.94,44.0,993.0,2.06,230.0,261.28,0.07,0.63,88.71,0.33,15.28,45.26,7.52,2.0,58.0,42.0,58.0,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,16.46,18.68,25.44,26.58,20.95,11.18,24.25,30.27,18.965,4.540965389283063,15.28,25.44,23.761428571428574,7.148208233703112,15.28,34.27,22.918750000000003,4.656215738128981,15.28,34.27,20.257857142857144,5.216464218395344,11.18,34.27,-0.07168894289185913,-0.4251316779533484,0.36672629695885506,48.83,58.64,90.52,120.39,78.2,25.49,90.37,107.62,60.8125,20.59705379417163,45.26,90.52,89.39,38.70959398736528,45.26,134.2,89.420625,25.421434123917294,45.26,134.2,71.93071428571429,29.91755274807521,25.49,134.2,-0.07311079254556625,-0.624055154082565,0.7755982738328757,1595.2035999999998,63712.431783999986,0.025680534155110513,1,0,1936.0,0,0,4.2436,0,1,0.0,1,0,233.4784,-0.07168894289185912,0,0,2048.4676,-0.0731107925455663,0,0,0.39690000000000003,0.016129032258064502,0,7869.464099999999,-0.015536566418821507,0,68267.23839999999,-0.037890783223478386,0,0.10890000000000001,-0.08333333333333326,0,1757.36,82.2764,610.2832,672.3199999999999,31.4768,2025-06-28 10:00:00+00:00
40.94,40.0,993.0,2.06,230.0,252.44,0.08,0.68,87.72,0.33,14.9,45.07,8.01,2.0,57.0,42.0,57.0,0.258819045102521,-0.9659258262890682,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,15.28,16.46,18.68,29.62,21.31,11.91,22.72,29.19,16.330000000000002,1.701646261712463,14.9,18.68,22.092857142857145,7.720890955249735,14.9,34.27,22.540625,5.055306741435182,14.9,34.27,20.390714285714285,5.020385796427756,11.91,34.27,-0.024869109947643915,-0.4969615124915598,0.2510495382031906,45.26,48.83,58.64,127.89,81.69,28.18,78.48,105.16,49.449999999999996,6.3660819975869,45.07,58.64,78.63,39.12248969582585,45.07,134.2,87.35,27.64804441547358,45.07,134.2,72.63,29.006822313737516,28.18,134.2,-0.004197967300044139,-0.64758777074048,0.599361249112846,1676.0835999999997,68618.86258399999,0.025037556334501776,1,0,1600.0,0,0,4.2436,0,1,0.0,1,0,222.01000000000002,-0.024869109947643908,0,0,2031.3049,-0.004197967300044181,0,0,0.4624000000000001,0.07936507936507953,0,7694.7984,-0.011159959418329368,0,63725.9536,-0.03383343539497852,0,0.10890000000000001,0.0,0,1637.6,84.3364,610.006,596.0,30.694000000000003,2025-06-28 11:00:00+00:00
40.94,40.0,992.0,4.61,182.0,246.04,0.09,0.81,87.28,0.33,14.87,46.22,8.66,2.0,57.0,43.0,57.0,1.2246467991473532e-16,-1.0,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,14.9,15.28,16.46,34.27,21.93,12.62,21.31,27.7,15.3775,0.7454025757937792,14.87,16.46,19.98571428571429,7.326940828528775,14.87,34.27,22.138125000000002,5.404157928546007,14.87,34.27,20.496428571428574,4.863919479022314,12.62,34.27,-0.0020134228187920224,-0.5660927925299096,0.17828843106180667,45.07,45.26,48.83,134.2,86.28,31.55,66.68,101.28,46.345,1.7314444836609686,45.07,48.83,66.96285714285713,33.79945794155369,45.07,134.2,85.133125,29.492625229312267,45.07,134.2,73.27428571428571,28.17126700480624,31.55,134.2,0.02551586421122695,-0.6555886736214604,0.4649762282091917,1676.0835999999997,68618.86258399999,0.0,1,0,1600.0,0,0,21.252100000000002,0,1,-0.001007049345417954,1,0,221.1169,-0.002013422818792021,0,0,2136.2884,0.02551586421122698,0,0,0.6561000000000001,0.19117647058823528,0,7617.798400000001,-0.005015959872320952,0,60535.681599999996,-0.025352559023926524,0,0.10890000000000001,0.0,0,1637.6,188.7334,608.7778,594.8,68.5507,2025-06-28 12:00:00+00:00
35.94,41.0,993.0,8.23,180.0,258.16,0.14,1.78,84.32,0.4,15.73,49.37,14.09,2.0,59.0,46.0,59.0,-0.2588190451025208,-0.9659258262890683,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,14.87,14.9,15.28,25.44,22.48,13.76,20.15,26.5,15.195,0.4025336424863561,14.87,15.73,17.337142857142858,3.8094212783821217,14.87,25.44,21.70923076923077,6.30193946540595,14.87,34.27,20.607499999999998,4.710482891814181,13.76,34.27,0.057834566240753275,-0.38168238993710696,0.14316860465116285,46.22,45.07,45.26,90.52,91.86,35.91,55.83,97.58,46.480000000000004,1.99133121303313,45.07,49.37,54.84428571428571,16.406690563245693,45.07,90.52,82.02923076923078,34.394427712818654,45.07,134.2,73.91071428571429,27.384035214994967,35.91,134.2,0.06815231501514493,-0.45459566946531155,0.37482595377332223,1291.6835999999998,46423.108583999994,-0.1221299462628237,1,0,1681.0,0,0,67.7329,0,0,0.0010080645161290036,1,0,247.43290000000002,0.05783456624075334,0,0,2437.3968999999997,0.06815231501514485,0,0,3.1684,1.1975308641975309,0,7109.862399999999,-0.033913840513290605,0,66646.5856,0.04926028288083262,0,0.16000000000000003,0.21212121212121215,0,1473.54,295.7862,565.3362,644.9300000000001,129.45790000000002,2025-06-28 13:00:00+00:00
35.94,44.0,993.0,3.09,180.0,280.82,0.07,3.36,77.43,0.52,17.11,53.86,22.06,3.0,62.0,50.0,62.0,-0.4999999999999997,-0.8660254037844388,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,15.73,14.87,14.9,18.68,23.27,15.36,20.69,25.67,15.6525,1.050218231289732,14.87,17.11,16.14714285714286,1.3876084256219918,14.87,18.68,21.29615384615385,6.422057741956674,14.87,34.27,20.72714285714286,4.570586198843449,14.87,34.27,0.08773045136681494,-0.08404710920770879,0.11393229166666667,49.37,46.22,45.07,58.64,99.42,41.0,53.13,94.89,48.629999999999995,3.9320139029933925,45.07,53.86,49.607142857142854,5.021545958121245,45.07,58.64,79.10615384615383,35.09689505223635,45.07,134.2,74.55178571428571,26.6620655827257,41.0,134.2,0.09094591857403286,-0.08151432469304232,0.31365853658536585,1291.6835999999998,46423.108583999994,0.0,1,0,1936.0,0,0,9.5481,0,1,0.0,1,0,292.7521,0.0877304513668149,0,0,2900.8995999999997,0.09094591857403289,1,0,11.289599999999998,0.8876404494382022,0,5995.404900000001,-0.08171252371916493,0,78859.8724,0.08777502324140052,0,0.27040000000000003,0.30000000000000004,0,1581.36,111.0546,614.9333999999999,752.8399999999999,52.869899999999994,2025-06-28 14:00:00+00:00
36.94,47.0,994.0,3.09,180.0,297.62,0.0,4.25,72.08,0.63,18.55,58.99,29.11,3.0,65.0,53.0,65.0,-0.7071067811865471,-0.7071067811865479,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,17.11,15.73,14.87,16.46,24.64,16.78,21.57,25.14,16.565,1.6132265804901682,14.87,18.55,16.128571428571426,1.3483746829847727,14.87,18.55,20.93307692307693,6.434577666295571,14.87,34.27,20.84107142857143,4.470509407783342,14.87,34.27,0.08416130917592059,0.1269744835965978,0.10548271752085814,53.86,49.37,46.22,48.83,108.71,45.76,53.12,93.58,52.11,5.555675776477003,46.22,58.99,49.65714285714286,5.127110018602795,45.07,58.99,75.99615384615385,34.937771475024356,45.07,134.2,75.1942857142857,26.032930204386428,45.07,134.2,0.09524693650204238,0.20806881015769002,0.289117132867133,1364.5635999999997,50406.97938399999,0.027824151363383454,1,0,2209.0,0,0,9.5481,0,1,0.001007049345417954,1,0,344.1025,0.08416130917592057,0,0,3479.8201000000004,0.0952469365020423,1,0,18.0625,0.26488095238095233,0,5195.5264,-0.0690946661500711,0,88577.66440000001,0.05982479880350411,0,0.39690000000000003,0.21153846153846145,0,1736.1799999999998,114.14459999999998,685.237,871.85,57.3195,2025-06-28 15:00:00+00:00
35.94,46.0,994.0,3.09,180.0,301.68,0.0,4.46,68.67,0.69,19.93,64.72,33.83,3.0,67.0,56.0,67.0,-0.8660254037844384,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,18.55,17.11,15.73,15.28,26.58,17.95,22.62,25.08,17.83,1.8126224096595518,15.73,19.93,16.624285714285715,1.9803018048002778,14.87,19.93,20.570769230769233,6.340372572568143,14.87,34.27,20.95357142857143,4.40366279723437,14.87,34.27,0.07439353099730453,0.3043193717277487,0.1103064066852368,58.99,53.86,49.37,45.26,120.39,50.26,56.08,94.89,56.735,6.617000831192332,49.37,64.72,51.92714285714286,7.614227284686027,45.07,64.72,72.6123076923077,33.61035930429936,45.07,134.2,75.87142857142855,25.479663744842952,45.07,134.2,0.09713510764536357,0.4299602297834733,0.2877039395145245,1291.6835999999998,46423.108583999994,-0.027070925825663283,1,0,2116.0,0,0,9.5481,0,1,0.0,1,0,397.2049,0.0743935309973045,0,0,4188.6784,0.09713510764536348,1,0,19.8916,0.049411764705882266,0,4715.5689,-0.0473085460599334,0,91010.8224,0.013641556347019801,0,0.4760999999999999,0.09523809523809512,0,1653.2399999999998,111.0546,716.2841999999999,916.78,61.58369999999999,2025-06-28 16:00:00+00:00
35.94,46.0,994.0,2.06,230.0,297.58,0.0,4.21,67.26,0.69,21.34,71.65,33.66,3.0,70.0,59.0,70.0,-0.9659258262890683,-0.25881904510252063,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,1,19.93,18.55,17.11,14.9,29.62,19.13,23.85,25.91,19.232499999999998,1.8164869941730934,17.11,21.34,17.490000000000002,2.5401509141518868,14.87,21.34,20.16769230769231,6.088052718023712,14.87,34.27,21.074642857142855,4.364452773930887,14.87,34.27,0.07074761665830408,0.4322147651006711,0.11552535284892844,64.72,58.99,53.86,45.07,127.89,55.23,60.48,99.93,62.305,7.647842833113142,53.86,71.65,55.69714285714286,9.940730547073683,45.07,71.65,68.86307692307693,30.401967695259295,45.07,134.2,76.63535714285715,24.999476214089686,45.07,134.2,0.10707663782447477,0.5897492788994898,0.29730219083831266,1291.6835999999998,46423.108583999994,0.0,1,0,2116.0,0,0,4.2436,0,1,0.0,1,0,455.3956,0.07074761665830409,0,0,5133.722500000001,0.10707663782447474,1,0,17.7241,-0.056053811659192876,0,4523.9076000000005,-0.020532983835736096,0,88553.85639999999,-0.013590559533280366,0,0.4760999999999999,0.0,0,1653.2399999999998,74.0364,766.9595999999999,981.64,43.9604,2025-06-28 17:00:00+00:00
34.94,59.0,994.0,3.09,180.0,282.42,0.0,3.71,67.66,0.63,22.4,78.74,31.04,3.0,73.0,63.0,73.0,-1.0,-1.8369701987210297e-16,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,1,21.34,19.93,18.55,14.87,34.27,19.99,24.99,26.59,20.555,1.6763949415337656,18.55,22.4,18.56142857142857,2.8307385877860485,14.87,22.4,19.612307692307695,5.449769343507659,14.87,34.27,21.19142857142857,4.354228012782701,14.87,34.27,0.049671977507028994,0.5063887020847343,0.12056028014007004,71.65,64.72,58.99,46.22,134.2,60.24,64.08,103.73,68.525,8.553870468974846,58.99,78.74,60.50714285714285,11.895329215404555,46.22,78.74,65.0823076923077,25.031491550260625,45.07,134.2,77.475,24.64623260219463,45.07,134.2,0.09895324494068372,0.7035915188230203,0.30710491367861875,1220.8035999999997,42654.87778399999,-0.027824151363383454,0,0,3481.0,0,0,9.5481,0,1,0.0,1,0,501.75999999999993,0.0496719775070289,0,0,6199.9875999999995,0.0989532449406838,1,0,13.7641,-0.11876484560570066,0,4577.875599999999,0.005947071067499143,0,79761.05640000002,-0.05094428389004624,0,0.39690000000000003,-0.08695652173913038,0,2061.46,107.96459999999999,782.656,1321.6,69.216,2025-06-28 18:00:00+00:00
33.94,62.0,994.0,5.14,230.0,244.48,0.0,2.59,70.43,0.5,22.57,84.61,24.55,3.0,73.0,66.0,73.0,-0.9659258262890684,0.2588190451025203,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,1,22.4,21.34,19.93,15.73,25.44,20.14,26.05,26.53,21.56,1.2153188881935473,19.93,22.57,19.66142857142857,2.6473409840279896,15.73,22.57,18.712307692307697,3.412841323213826,14.87,25.44,21.28357142857143,4.355160595147304,14.87,34.27,0.0075892857142857905,0.4348378893833439,0.12065541211519362,78.74,71.65,64.72,49.37,90.52,65.44,66.72,104.32,74.93,8.62594922312901,64.72,84.61,65.99142857142859,13.008181308406682,49.37,84.61,61.26769230769231,15.636003940609928,45.07,90.52,78.34535714285714,24.444529416338604,45.07,134.2,0.07454914909829825,0.7137938019039903,0.292940097799511,1151.9235999999999,39096.28698399999,-0.028620492272467102,0,0,3844.0,0,0,26.419599999999996,0,0,0.0,1,0,509.4049,0.007589285714285854,0,0,7158.8521,0.07454914909829835,1,0,6.708099999999999,-0.30188679245283023,0,4960.384900000001,0.04093999408808768,0,59770.4704,-0.13433892783797186,0,0.25,-0.2063492063492064,0,2104.2799999999997,174.45159999999998,766.0258,1399.34,116.0098,2025-06-28 19:00:00+00:00
33.94,62.0,994.0,7.2,230.0,227.2,0.0,2.27,69.89,0.49,22.98,88.06,23.97,3.0,74.0,67.0,74.0,-0.8660254037844386,0.5000000000000001,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,22.57,22.4,21.34,17.11,18.68,20.63,27.62,26.55,22.3225,0.6987786964888576,21.34,22.98,20.697142857142854,2.23973000073457,17.11,22.98,18.52307692307692,3.0585355553908053,14.87,22.98,21.385,4.360608605161373,14.87,34.27,0.01816570669029686,0.3430742255990649,0.11391177896267579,84.61,78.74,71.65,53.86,58.64,69.84,69.88,104.25,80.765,7.1922388725625614,71.65,88.06,71.51857142857143,12.988337625951763,53.86,88.06,61.07846153846154,15.26291848793116,45.07,88.06,79.15321428571428,24.375912374730284,45.07,134.2,0.040775322065949686,0.6349795766802823,0.2608820160366552,1151.9235999999999,39096.28698399999,0.0,0,0,3844.0,0,0,51.84,0,0,0.0,1,0,528.0804,0.018165706690296934,0,0,7754.5636,0.04077532206594969,1,0,5.1529,-0.12355212355212353,0,4884.6121,-0.007667187278148635,0,51619.84,-0.0706806282722513,0,0.24009999999999998,-0.020000000000000018,0,2104.2799999999997,244.368,779.9412,1424.76,165.45600000000002,2025-06-28 20:00:00+00:00
32.94,75.0,993.0,7.2,230.0,218.39,0.0,2.22,68.31,0.84,23.34,89.95,24.58,3.0,75.0,68.0,75.0,-0.7071067811865477,0.7071067811865474,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,22.98,22.57,22.4,18.55,16.46,21.07,29.69,26.25,22.8225,0.4222459788638218,22.4,23.34,21.587142857142855,1.7640267787622939,18.55,23.34,18.88153846153846,3.3387044547095566,14.87,23.34,21.481785714285717,4.373286799863741,14.87,34.27,0.015665796344647494,0.25822102425876003,0.1077361177028951,88.06,84.61,78.74,58.99,48.83,74.43,74.23,104.28,85.34,4.924205519675233,78.74,89.95,76.67428571428572,11.930382582776991,58.99,89.95,63.48692307692309,17.194211421587685,45.07,89.95,79.87142857142855,24.387602453688505,45.07,134.2,0.02146263910969794,0.524834717748771,0.20851807067042852,1085.0435999999997,35741.33618399999,-0.029463759575721893,0,0,5625.0,0,0,51.84,0,0,-0.001006036217303774,1,0,544.7556,0.015665796344647598,0,0,8091.0025000000005,0.021462639109697923,1,0,4.928400000000001,-0.022026431718061623,0,4666.2561000000005,-0.02260695378451849,0,47694.19209999999,-0.03877640845070429,0,0.7055999999999999,0.7142857142857142,0,2470.5,237.16799999999998,768.8195999999999,1750.5,168.048,2025-06-28 21:00:00+00:00
32.94,75.0,993.0,7.2,230.0,214.49,0.0,2.37,66.09,1.79,23.5,90.19,25.32,3.0,75.0,68.0,75.0,-0.5000000000000004,0.8660254037844384,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,0,23.34,22.98,22.57,19.93,15.28,20.95,32.04,25.14,23.0975,0.4134710791982109,22.57,23.5,22.294285714285714,1.265251715968765,19.93,23.5,19.42307692307692,3.481107066761436,14.87,23.5,21.56857142857143,4.388895680123339,14.87,34.27,0.00685518423307627,0.17912694430506776,0.12171837708830553,89.95,88.06,84.61,64.72,45.26,78.2,79.4,102.61,88.2025,2.5774842385551073,84.61,90.19,81.13142857142859,9.87321195385343,64.72,90.19,66.66846153846154,18.06084939224152,45.07,90.19,80.4342857142857,24.439177931948077,45.07,134.2,0.0026681489716508604,0.3935414091470952,0.15332480818414315,1085.0435999999997,35741.33618399999,0.0,0,0,5625.0,0,0,51.84,0,0,0.0,1,0,552.25,0.006855184233076184,0,0,8134.236099999999,0.0026681489716509077,1,0,5.6169,0.06756756756756754,0,4367.8881,-0.03249890206411943,0,46005.960100000004,-0.0178579605293282,0,3.2041,1.130952380952381,0,2470.5,237.16799999999998,774.0899999999999,1762.5,169.20000000000002,2025-06-28 22:00:00+00:00
