temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
15.94,59,1017,0.0,0,2323.15,0.01,49.35,79.39,14.07,290.11,346.58,32.17,5,340.0,196.0,340.0,Multan,30.1575,71.5249
13.94,62,1017,0.0,0,2483.37,0.0,50.04,62.23,12.87,303.66,371.07,40.53,5,354.0,224.0,354.0,Multan,30.1575,71.5249
12.94,71,1018,0.0,0,2643.59,0.0,49.35,52.93,12.64,322.64,400.53,46.1,5,372.0,266.0,372.0,Multan,30.1575,71.5249
12.94,71,1018,0.0,0,2643.59,0.0,43.18,52.21,11.92,332.46,416.75,46.61,5,382.0,290.0,382.0,Multan,30.1575,71.5249
17.34,19,1018,0.88,75,2643.59,0.0,40.1,52.21,11.56,338.97,426.75,46.1,5,389.0,303.0,389.0,Multan,30.1575,71.5249
16.63,20,1018,0.76,78,2670.29,0.0,40.44,47.92,10.85,343.91,433.21,43.57,5,394.0,311.0,394.0,Multan,30.1575,71.5249
9.94,87,1018,0.0,0,2616.88,0.0,38.39,43.27,9.06,340.69,427.66,38.0,5,390.0,304.0,390.0,Multan,30.1575,71.5249
8.94,87,1017,0.0,0,2510.07,0.0,34.27,42.2,8.23,333.8,417.75,37.49,5,384.0,291.0,384.0,Multan,30.1575,71.5249
15.92,21,1017,0.32,106,2429.96,0.0,30.5,42.92,7.99,333.45,414.83,40.53,5,383.0,287.0,383.0,Multan,30.1575,71.5249
15.68,21,1017,0.1,349,2429.96,0.0,28.1,42.2,7.51,344.65,424.52,39.52,5,394.0,,,Multan,30.1575,71.5249
15.54,22,1017,0.59,357,2403.26,0.0,25.7,40.77,6.02,356.43,431.17,29.89,5,405.0,309.0,405.0,Multan,30.1575,71.5249
15.22,22,1017,1.12,343,2349.85,0.0,22.96,39.34,4.77,362.78,432.4,22.29,5,409.0,310.0,409.0,Multan,30.1575,71.5249
15.22,22,1017,1.12,343,2349.85,0.0,22.96,39.34,4.77,362.78,432.4,22.29,5,409.0,310.0,409.0,Multan,30.1575,71.5249
15.22,22,1017,1.12,343,2349.85,0.0,22.96,39.34,4.77,362.78,432.4,22.29,5,409.0,310.0,409.0,Multan,30.1575,71.5249
15.22,22,1017,1.12,343,2349.85,0.0,22.96,39.34,4.77,362.78,432.4,22.29,5,409.0,310.0,409.0,Multan,30.1575,71.5249
7.94,87,1017,0.0,0,2323.15,0.0,21.93,36.12,3.93,369.72,429.33,16.47,5,414.0,306.0,414.0,Multan,30.1575,71.5249
